date,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
30/8/2021,185705,184533,370238,1612,209,19710064,14989026,34680627,24940,8248,151468,98885,21790,61749,10946,20873,2572,1955
31/8/2021,121301,149353,270654,1370,367,19833300,15138379,34951281,26310,8615,100453,69578,10920,56804,8640,20789,1935,1535
1/9/2021,191724,217416,409140,2126,458,20026689,15355795,35360421,28436,9073,155138,105029,23386,88438,12196,21441,1665,1847
2/9/2021,186321,193941,380262,2026,149,20214471,15549736,35740683,30462,9222,156895,84312,13311,83561,12377,21502,1461,6843
3/9/2021,148774,183153,331927,1876,299,20365916,15732889,36072610,32338,9521,121280,59435,16034,93780,6105,21981,2671,10641
4/9/2021,137569,169012,306581,2185,368,20509016,15901901,36379191,34523,9889,110544,44355,15184,97235,9067,18655,5531,6010
5/9/2021,140793,156715,297508,2147,283,20654884,16058616,36676699,36670,10172,110547,39594,16441,88272,8458,19001,5075,10120
6/9/2021,135750,184839,320589,2320,413,20792805,16243455,36997288,38990,10585,112414,43599,12858,109537,5499,21755,2171,12756
7/9/2021,137269,195228,332497,2452,84,20932353,16438683,37329785,41442,10669,117675,39187,13982,126641,2074,21980,2279,8679
8/9/2021,131655,195615,327270,8269,60,21065139,16634298,37657055,49711,10729,98539,36404,18056,132515,3357,21505,1131,15763
9/9/2021,138054,190382,328436,13803,69,21205902,16824680,37985491,63514,10798,103337,40005,18260,123128,3457,21659,2709,15881
10/9/2021,113569,176492,290061,20770,76,21324073,17001172,38275552,84284,10874,91033,66631,15338,82038,3061,22189,4602,5169
11/9/2021,89608,170552,260160,22693,49,21419798,17171724,38535712,106977,10923,72941,72819,13077,70759,1325,18822,6117,4300
12/9/2021,76346,151130,227476,16760,36,21501219,17322854,38763188,123737,10959,64780,72717,9312,54046,628,18540,5075,2378
13/9/2021,69235,157912,227147,6199,422,21573348,17480766,38990335,129936,11381,57581,93634,9692,38501,940,21229,2894,2676
14/9/2021,71658,172313,243971,7176,721,21649228,17653079,39234306,137112,12102,57864,103929,12516,43433,693,18810,4222,2504
15/9/2021,68534,180276,248810,8406,854,21719553,17833355,39483116,145518,12956,56538,112355,8686,43050,930,21238,1791,4222
16/9/2021,62108,140190,202298,20848,739,21783871,17973545,39685414,166366,13695,39815,80274,7178,33376,386,23043,2210,16016
17/9/2021,75986,162016,238002,33406,1034,21861904,18135561,39923416,199772,14729,68123,101285,6950,34810,606,22376,2047,1805
18/9/2021,73106,159453,232559,31354,1352,21938426,18295014,40155975,231126,16081,65147,101512,6495,34973,665,18664,3416,1687
19/9/2021,60773,158308,219081,29228,1164,22001266,18453322,40375056,260354,17245,52924,106917,6010,27699,144,20454,2067,2866
20/9/2021,94145,195473,289618,58210,1646,22097565,18648795,40664674,318564,18891,86489,145338,7020,24439,157,22266,2154,1755
21/9/2021,123414,137841,261255,91536,1265,22223652,18786636,40925929,410100,20156,116471,99974,5169,13615,571,20320,2673,2462
22/9/2021,121631,199711,321342,90771,1717,22348422,18986347,41247271,500871,21873,115151,149139,5718,24561,32,21446,3139,2156
