date,state,daily
2021-03-13,Johor,1570
2021-03-13,Kedah,568
2021-03-13,Kelantan,0
2021-03-13,Melaka,230
2021-03-13,Negeri Sembilan,14
2021-03-13,Pahang,3296
2021-03-13,Perak,3235
2021-03-13,Perlis,216
2021-03-13,Pulau Pinang,799
2021-03-13,Sabah,2725
2021-03-13,Sarawak,1723
2021-03-13,Selangor,2461
2021-03-13,Terengganu,0
2021-03-13,W.P. Kuala Lumpur,0
2021-03-13,W.P. Labuan,0
2021-03-13,W.P. Putrajaya,0
2021-03-14,Johor,1137
2021-03-14,Kedah,1430
2021-03-14,Kelantan,72
2021-03-14,Melaka,0
2021-03-14,Negeri Sembilan,0
2021-03-14,Pahang,197
2021-03-14,Perak,1367
2021-03-14,Perlis,0
2021-03-14,Pulau Pinang,505
2021-03-14,Sabah,2718
2021-03-14,Sarawak,1065
2021-03-14,Selangor,547
2021-03-14,Terengganu,1036
2021-03-14,W.P. Kuala Lumpur,0
2021-03-14,W.P. Labuan,0
2021-03-14,W.P. Putrajaya,0
2021-03-15,Johor,1797
2021-03-15,Kedah,2647
2021-03-15,Kelantan,466
2021-03-15,Melaka,288
2021-03-15,Negeri Sembilan,699
2021-03-15,Pahang,199
2021-03-15,Perak,1638
2021-03-15,Perlis,470
2021-03-15,Pulau Pinang,1789
2021-03-15,Sabah,4162
2021-03-15,Sarawak,721
2021-03-15,Selangor,2519
2021-03-15,Terengganu,820
2021-03-15,W.P. Kuala Lumpur,1728
2021-03-15,W.P. Labuan,0
2021-03-15,W.P. Putrajaya,342
2021-03-16,Johor,1437
2021-03-16,Kedah,2676
2021-03-16,Kelantan,664
2021-03-16,Melaka,835
2021-03-16,Negeri Sembilan,1629
2021-03-16,Pahang,407
2021-03-16,Perak,4746
2021-03-16,Perlis,798
2021-03-16,Pulau Pinang,2036
2021-03-16,Sabah,3588
2021-03-16,Sarawak,536
2021-03-16,Selangor,3164
2021-03-16,Terengganu,775
2021-03-16,W.P. Kuala Lumpur,1949
2021-03-16,W.P. Labuan,0
2021-03-16,W.P. Putrajaya,218
2021-03-17,Johor,891
2021-03-17,Kedah,1637
2021-03-17,Kelantan,1363
2021-03-17,Melaka,798
2021-03-17,Negeri Sembilan,1471
2021-03-17,Pahang,643
2021-03-17,Perak,2830
2021-03-17,Perlis,795
2021-03-17,Pulau Pinang,1740
2021-03-17,Sabah,2514
2021-03-17,Sarawak,174
2021-03-17,Selangor,3922
2021-03-17,Terengganu,2
2021-03-17,W.P. Kuala Lumpur,1839
2021-03-17,W.P. Labuan,0
2021-03-17,W.P. Putrajaya,228
2021-03-18,Johor,1429
2021-03-18,Kedah,458
2021-03-18,Kelantan,715
2021-03-18,Melaka,619
2021-03-18,Negeri Sembilan,1051
2021-03-18,Pahang,1029
2021-03-18,Perak,3092
2021-03-18,Perlis,726
2021-03-18,Pulau Pinang,1454
2021-03-18,Sabah,2021
2021-03-18,Sarawak,98
2021-03-18,Selangor,3655
2021-03-18,Terengganu,0
2021-03-18,W.P. Kuala Lumpur,1686
2021-03-18,W.P. Labuan,2
2021-03-18,W.P. Putrajaya,64
2021-03-19,Johor,18
2021-03-19,Kedah,306
2021-03-19,Kelantan,0
2021-03-19,Melaka,330
2021-03-19,Negeri Sembilan,275
2021-03-19,Pahang,2167
2021-03-19,Perak,2249
2021-03-19,Perlis,160
2021-03-19,Pulau Pinang,1844
2021-03-19,Sabah,992
2021-03-19,Sarawak,1674
2021-03-19,Selangor,3149
2021-03-19,Terengganu,6
2021-03-19,W.P. Kuala Lumpur,1334
2021-03-19,W.P. Labuan,0
2021-03-19,W.P. Putrajaya,19
2021-03-20,Johor,728
2021-03-20,Kedah,6
2021-03-20,Kelantan,360
2021-03-20,Melaka,0
2021-03-20,Negeri Sembilan,0
2021-03-20,Pahang,3116
2021-03-20,Perak,1321
2021-03-20,Perlis,2
2021-03-20,Pulau Pinang,1884
2021-03-20,Sabah,1403
2021-03-20,Sarawak,4266
2021-03-20,Selangor,559
2021-03-20,Terengganu,0
2021-03-20,W.P. Kuala Lumpur,0
2021-03-20,W.P. Labuan,127
2021-03-20,W.P. Putrajaya,0
2021-03-21,Johor,1403
2021-03-21,Kedah,722
2021-03-21,Kelantan,509
