date,state,cases_new
2021-08-31,W.P. Putrajaya,25
2021-09-03,Johor,165
2021-09-03,Kedah,25
2021-09-03,Kelantan,16
2021-09-03,Melaka,0
2021-09-03,Negeri Sembilan,45
2021-09-03,Pahang,2
2021-09-03,Perak,34
2021-09-03,Perlis,1
2021-09-03,Pulau Pinang,143
2021-09-03,Sabah,64
2021-09-03,Sarawak,163
2021-09-03,Selangor,464
2021-09-03,Terengganu,36
2021-09-03,W.P. Kuala Lumpur,119
2021-09-03,W.P. Labuan,0
2021-09-03,W.P. Putrajaya,3
2021-09-04,Johor,103
2021-09-04,Kedah,40
2021-09-04,Kelantan,143
2021-09-04,Melaka,34
2021-09-04,Negeri Sembilan,40
2021-09-04,Pahang,19
2021-09-04,Perak,29
2021-09-04,Perlis,0
2021-09-04,Pulau Pinang,176
2021-09-04,Sabah,139
2021-09-04,Sarawak,555
2021-09-04,Selangor,403
2021-09-04,Terengganu,29
2021-09-04,W.P. Kuala Lumpur,135
2021-09-04,W.P. Labuan,3
2021-09-04,W.P. Putrajaya,6
2021-09-05,Johor,365
2021-09-05,Kedah,176
2021-09-05,Kelantan,254
2021-09-05,Melaka,66
2021-09-05,Negeri Sembilan,205
2021-09-05,Pahang,100
2021-09-05,Perak,80
2021-09-05,Perlis,1
2021-09-05,Pulau Pinang,280
2021-09-05,Sabah,61
2021-09-05,Sarawak,454
2021-09-05,Selangor,1278
2021-09-05,Terengganu,49
2021-09-05,W.P. Kuala Lumpur,338
2021-09-05,W.P. Labuan,6
2021-09-05,W.P. Putrajaya,20
2021-09-06,Johor,468
2021-09-06,Kedah,135
2021-09-06,Kelantan,340
2021-09-06,Melaka,150
2021-09-06,Negeri Sembilan,507
2021-09-06,Pahang,232
2021-09-06,Perak,175
2021-09-06,Perlis,4
2021-09-06,Pulau Pinang,194
2021-09-06,Sabah,232
2021-09-06,Sarawak,419
2021-09-06,Selangor,2291
2021-09-06,Terengganu,171
2021-09-06,W.P. Kuala Lumpur,704
2021-09-06,W.P. Labuan,200
2021-09-06,W.P. Putrajaya,17
2021-09-07,Johor,315
2021-09-07,Kedah,417
2021-09-07,Kelantan,151
2021-09-07,Melaka,222
2021-09-07,Negeri Sembilan,899
2021-09-07,Pahang,214
2021-09-07,Perak,241
2021-09-07,Perlis,1
2021-09-07,Pulau Pinang,142
2021-09-07,Sabah,323
2021-09-07,Sarawak,406
2021-09-07,Selangor,4400
2021-09-07,Terengganu,82
2021-09-07,W.P. Kuala Lumpur,1271
2021-09-07,W.P. Labuan,80
2021-09-07,W.P. Putrajaya,16
2021-09-08,Johor,1232
2021-09-08,Kedah,1328
2021-09-08,Kelantan,914
2021-09-08,Melaka,360
2021-09-08,Negeri Sembilan,1215
2021-09-08,Pahang,604
2021-09-08,Perak,935
2021-09-08,Perlis,22
2021-09-08,Pulau Pinang,908
2021-09-08,Sabah,1247
2021-09-08,Sarawak,589
2021-09-08,Selangor,5740
2021-09-08,Terengganu,501
2021-09-08,W.P. Kuala Lumpur,1567
2021-09-08,W.P. Labuan,8
2021-09-08,W.P. Putrajaya,66
2021-09-09,Johor,2032
2021-09-09,Kedah,1355
2021-09-09,Kelantan,1438
2021-09-09,Melaka,340
2021-09-09,Negeri Sembilan,207
2021-09-09,Pahang,661
2021-09-09,Perak,1341
2021-09-09,Perlis,108
2021-09-09,Pulau Pinang,2243
2021-09-09,Sabah,2298
2021-09-09,Sarawak,3118
2021-09-09,Selangor,2700
2021-09-09,Terengganu,910
2021-09-09,W.P. Kuala Lumpur,513
2021-09-09,W.P. Labuan,15
2021-09-09,W.P. Putrajaya,28
2021-09-13,Johor,2030
2021-09-13,Kedah,1191
2021-09-13,Kelantan,1070
2021-09-13,Melaka,206
2021-09-13,Negeri Sembilan,156
2021-09-13,Pahang,878
2021-09-13,Perak,1011
2021-09-13,Perlis,41
2021-09-13,Pulau Pinang,1243
2021-09-13,Sabah,1649
2021-09-13,Sarawak,3522
2021-09-13,Selangor,1947
2021-09-13,Terengganu,704
2021-09-13,W.P. Kuala Lumpur,398
2021-09-13,W.P. Labuan,11
2021-09-13,W.P. Putrajaya,16
2021-09-14,Johor,1974
2021-09-14,Kedah,1207
2021-09-14,Kelantan,1406
2021-09-14,Melaka,329
2021-09-14,Negeri Sembilan,143
2021-09-14,Pahang,763
2021-09-14,Perak,856
2021-09-14,Perlis,30
2021-09-14,Pulau Pinang,1651
2021-09-14,Sabah,1784
2021-09-14,Sarawak,1983
2021-09-14,Selangor,2632
2021-09-14,Terengganu,483
2021-09-14,W.P. Kuala Lumpur,411
2021-09-14,W.P. Labuan,3
2021-09-14,W.P. Putrajaya,14
2021-09-15,Johor,1860
2021-09-15,Kedah,1178
2021-09-15,Kelantan,1434
2021-09-15,Melaka,190
2021-09-15,Negeri Sembilan,222
2021-09-15,Pahang,766
2021-09-15,Perak,1174
2021-09-15,Perlis,108
2021-09-15,Pulau Pinang,1757
2021-09-15,Sabah,2015
2021-09-15,Sarawak,4709
2021-09-15,Selangor,2710
2021-09-15,Terengganu,993
2021-09-15,W.P. Kuala Lumpur,363
2021-09-15,W.P. Labuan,0
2021-09-15,W.P. Putrajaya,16
2021-09-16,Johor,2206
2021-09-16,Kedah,1233
2021-09-16,Kelantan,1222
2021-09-16,Melaka,269
2021-09-16,Negeri Sembilan,170
2021-09-16,Pahang,712
2021-09-16,Perak,1446
2021-09-16,Perlis,80
2021-09-16,Pulau Pinang,1777
2021-09-16,Sabah,1982
2021-09-16,Sarawak,3660
2021-09-16,Selangor,2718
2021-09-16,Terengganu,814
2021-09-16,W.P. Kuala Lumpur,493
